question,answer
What is the capital of France?,Paris
What is the capital of Germany?,Berlin
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the largest planet in our solar system?,Jupiter
What is the boiling point of water in Celsius?,100
Who painted the Mona Lisa?,Leonardo da Vinci
What is the currency of Japan?,Yen
Who discovered penicillin?,Alexander Fleming
What is the tallest mountain in the world?,Mount Everest
What is the main language spoken in Brazil?,Portuguese
Who is the current president of the United States?,Joe Biden
What is the chemical symbol for gold?,Au
How many continents are there?,7
What is the largest ocean on Earth?,Pacific Ocean
Who invented the telephone?,Alexander Graham Bell
What is the square root of 64?,8
What year did World War II end?,1945
What is the fastest land animal?,Cheetah
Who wrote 'Romeo and Juliet'?,William Shakespeare
What is the closest star to Earth?,Sun
What is the capital of Canada?,Ottawa
Who developed the theory of relativity?,Albert Einstein
What is the hardest natural substance?,Diamond
How many bones are in the human body?,206
What is the largest organ in the human body?,Skin
Who is known as the father of computers?,Charles Babbage
What is the currency of the United Kingdom?,Pound
Who wrote 'The Odyssey'?,Homer
What is the capital of Australia?,Canberra
What gas do plants absorb from the air?,Carbon dioxide
Who painted the ceiling of the Sistine Chapel?,Michelangelo
What is the smallest prime number?,2
How many sides does a hexagon have?,6
Who was the first person to walk on the moon?,Neil Armstrong
What is the capital of Spain?,Madrid
What is the largest desert in the world?,Sahara
Who discovered gravity?,Isaac Newton
What is the capital of Italy?,Rome
How many players are on a baseball team?,9
Who wrote 'Pride and Prejudice'?,Jane Austen
What is the currency of India?,Rupee
What is the freezing point of water in Fahrenheit?,32
Who is the Greek god of war?,Ares
What is the capital of Russia?,Moscow
How many colors are in a rainbow?,7
Who painted 'Starry Night'?,Van Gogh
What is the largest mammal?,Blue whale
What is the capital of China?,Beijing
How many days are in a leap year?,366
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the capital of Egypt?,Cairo
What is the chemical symbol for oxygen?,O
Who was the first president of the United States?,George Washington
What is the capital of Argentina?,Buenos Aires
How many planets are in our solar system?,8
Who wrote 'Hamlet'?,William Shakespeare
What is the capital of South Africa?,Pretoria
What is the longest river in the world?,Nile
Who discovered electricity?,Benjamin Franklin
What is the capital of Mexico?,Mexico City
How many teaspoons are in a tablespoon?,3
Who wrote 'Moby Dick'?,Herman Melville
What is the capital of Japan?,Tokyo
What is the chemical symbol for silver?,Ag
Who was the first woman to win a Nobel Prize?,Marie Curie
What is the capital of Turkey?,Ankara
How many years are in a century?,100
Who painted 'The Last Supper'?,Leonardo da Vinci
What is the capital of India?,New Delhi
What is the largest continent?,Asia
Who invented the light bulb?,Thomas Edison
What is the capital of South Korea?,Seoul
How many legs does a spider have?,8
Who wrote 'The Catcher in the Rye'?,J.D. Salinger
What is the capital of Thailand?,Bangkok
What is the chemical symbol for sodium?,Na
Who was the first person to reach the South Pole?,Roald Amundsen
What is the capital of Saudi Arabia?,Riyadh
How many weeks are in a year?,52
Who painted 'Guernica'?,Pablo Picasso
What is the capital of Nigeria?,Abuja
What is the largest moon of Saturn?,Titan
Who invented the printing press?,Johannes Gutenberg
What is the capital of Pakistan?,Islamabad
How many stripes are on the US flag?,13
Who wrote 'War and Peace'?,Leo Tolstoy
What is the capital of Indonesia?,Jakarta
What is the chemical symbol for iron?,Fe
Who was the first female prime minister of the UK?,Margaret Thatcher
What is the capital of Vietnam?,Hanoi
How many US states are there?,50
Who painted 'The Scream'?,Edvard Munch
What is the capital of Greece?,Athens
What is the largest country by area?,Russia
Who invented the telephone?,Alexander Graham Bell
What is the capital of Kenya?,Nairobi
How many hearts does an octopus have?,3
Who wrote '1984'?,George Orwell
What is the capital of Sweden?,Stockholm
What is the chemical symbol for lead?,Pb
Who was the first emperor of Rome?,Augustus
What is the capital of Norway?,Oslo
How many time zones are there in Russia?,11
Who painted 'The Persistence of Memory'?,Salvador Dali
What is the capital of Switzerland?,Bern
What is the largest bird in the world?,Ostrich
